id,name,description,status,assignee,priority,started_at,completed_at,estimated_hours,actual_hours,depends_on,notes
# Phase 1: 基礎検証（完了）
TASK-001,S3 Vectors サンプル実装,boto3 s3vectors クライアントを使用した直接ベクトル操作サンプル,completed,AI,high,2024-12-25,2024-12-25,2,1,,01_s3_vectors_direct.py
TASK-002,Bedrock KB + S3 Vectors サンプル実装,Bedrock Knowledge Base を S3 Vectors バックエンドで構築,completed,AI,high,2024-12-25,2024-12-25,2,1,TASK-001,02_bedrock_kb_with_s3vectors.py
TASK-003,Bedrock KB + OpenSearch サンプル実装,Bedrock Knowledge Base を OpenSearch Serverless バックエンドで構築,completed,AI,high,2024-12-25,2024-12-25,2,1,TASK-002,03_bedrock_kb_with_opensearch.py
TASK-004,AgentCore Memory サンプル実装,bedrock-agentcore クライアントを使用した Memory API 実装,completed,AI,high,2024-12-25,2024-12-25,2,1,TASK-002,05_agentcore_memory.py
TASK-005,機能・コスト比較表作成,S3 Vectors/Bedrock KB/AgentCore Memory/Neptune の比較表作成,completed,AI,high,2024-12-25,2024-12-25,2,1,TASK-004,04_comparison.py
TASK-006,メモリアーキテクチャ設計ドキュメント,AgentCore Memory の4種メモリタイプと連携パターンを解説,completed,AI,critical,2024-12-25,2024-12-25,4,2,TASK-005,MEMORY_ARCHITECTURE_DESIGN.md
TASK-007,Graphiti統合設計ドキュメント,Graphiti(時間認識型ナレッジグラフ)とNeptuneの比較,completed,AI,high,2024-12-25,2024-12-25,2,1,TASK-006,GRAPHITI_INTEGRATION_DESIGN.md
TASK-008,採用判断ガイド追加,「何を保存したいか？」で選ぶ採用判断フローチャート,completed,AI,high,2024-12-25,2024-12-25,2,1,TASK-007,README.md更新
# Phase 2: ローカル環境サンプル実装（完了）
TASK-011,共通インターフェース(Protocol)定義,VectorStore/KnowledgeBase/Memory/Graph の Protocol 定義,completed,AI,critical,2026-01-01,2026-01-01,2,1,TASK-008,src/interfaces/storage.py
TASK-012,ローカル VectorStore アダプタ,In-memory + NumPy による VectorStore 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-011,src/adapters/local/vector_store.py
TASK-013,ローカル KnowledgeBase アダプタ,Ollama + ChromaDB による簡易RAG実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-011,src/adapters/local/knowledge_base.py
TASK-014,ローカル Memory アダプタ,SQLite による Memory Protocol 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-011,src/adapters/local/memory_store.py
TASK-015,ローカル Graph アダプタ,NetworkX による Graph Protocol 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-011,src/adapters/local/graph_store.py
TASK-016,docker-compose.local.yml,LocalStack + Neo4j + Redis + ChromaDB + Ollama 環境,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-012,docker-compose.local.yml
# Phase 3: AWS本番環境サンプル実装（完了）
TASK-017,AWS VectorStore アダプタ,boto3 s3vectors による VectorStore 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-016,src/adapters/aws/vector_store.py
TASK-018,AWS KnowledgeBase アダプタ,boto3 bedrock-agent による KnowledgeBase 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-016,src/adapters/aws/knowledge_base.py
TASK-019,AWS Memory アダプタ,boto3 bedrock-agentcore による Memory 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-016,src/adapters/aws/memory_store.py
TASK-020,AWS Graph アダプタ,Neptune Serverless + Gremlin による Graph 実装,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-016,src/adapters/aws/graph_store.py
# Phase 4: CDK インフラストラクチャ（完了）
TASK-021,CDKプロジェクト構造作成,infra/ に CDK TypeScript プロジェクト構築,completed,AI,critical,2026-01-01,2026-01-01,3,1,TASK-020,infra/
TASK-022,StorageStack実装,S3 DataSource + Neptune Serverless + VPC 定義,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-021,infra/lib/stacks/storage-stack.ts
TASK-023,ComputeStack実装,Lambda (Memory/Vector/Graph API) + API Gateway 定義,completed,AI,high,2026-01-01,2026-01-01,3,1,TASK-022,infra/lib/stacks/compute-stack.ts
TASK-024,PipelineStack実装,CodePipeline + CodeBuild による CI/CD 定義,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-023,infra/lib/stacks/pipeline-stack.ts
TASK-025,Lambda ハンドラー実装,Memory/Vector/Graph API の Lambda ハンドラー,completed,AI,high,2026-01-01,2026-01-01,3,1,TASK-024,infra/lambda/
TASK-026,環境設定・README整備,environments.ts + infra/README.md,completed,AI,medium,2026-01-01,2026-01-01,1,1,TASK-025,infra/lib/config/environments.ts
# Phase 5: ドキュメント・テスト（完了）
TASK-031,環境差分比較ドキュメント,ローカル vs AWS の差分マトリクス作成,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-026,docs/ENVIRONMENT_COMPARISON.md
TASK-032,IAMポリシードキュメント,各サービス用IAMポリシー定義（CDK実装例付き）,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-031,docs/IAM_POLICIES.md
TASK-033,E2Eテスト実装,pytest による VectorStore/Memory/Graph テスト,completed,AI,medium,2026-01-01,2026-01-01,3,1,TASK-032,tests/
# Phase 6: Neptune → Neo4j 移行（進行中）
TASK-034,Neptune削除・CDKリファクタ,Neptune Serverless を削除し Neo4j AuraDB 対応に変更,completed,AI,critical,2026-01-01,2026-01-01,2,1,TASK-033,storage-stack.ts/compute-stack.ts
TASK-035,Neo4j AuraDB 設計ドキュメント,Neo4j AuraDB の設計・セットアップ手順を文書化,completed,AI,high,2026-01-01,2026-01-01,2,1,TASK-034,docs/NEO4J_AURADB_DESIGN.md
TASK-036,Neo4j AuraDB セットアップスクリプト,AuraDB インスタンス作成とSecrets Manager設定の自動化スクリプト,completed,AI,critical,2026-01-01,2026-01-01,2,1,TASK-035,scripts/setup-neo4j-auradb.sh
TASK-037,Neo4j 接続テストスクリプト,接続テストとサンプル操作の検証スクリプト,completed,AI,high,2026-01-01,2026-01-01,1,1,TASK-036,scripts/test-neo4j-connection.py
TASK-038,CDK 再デプロイ,Storage/Compute/Frontend スタック再デプロイ,pending,AI,critical,,,2,,TASK-037,cdk deploy --all
TASK-039,API 動作確認,Graph API エンドポイントの動作確認,pending,AI,high,,,1,,TASK-038,curl テスト
